Rip,Name (Showing 19337 of 19337 Total),"Species Corrected",In Latin Genus List Ref.,"Created Date","Updated Date",Maker,Maker List Ref.,Build,Padding,Appearance,Leg Type,Finger Type,Base Colour,Eye Colour,Avatar Type,Pulled
,Poncho,Hybrid Custom,120,,,All Fur Fun,20,Partial,None,Toony,N/A,N/A,White,Blue,Hybrid,
,Roxen Cheetah Deer,Hybrid Custom,120,,,All Fur Fun,20,Partial,None,Toony,Plantigrade,Other,Yellow,Green,Hybrid,
,Royel,Hybrid Dutch Angel Dragon,123,,,All Fur Fun,20,Partial,None,Realistic Toony,Plantigrade,Four,Purple,Yellow,Angel Dragon,
,Sam,Possum,179,,,All Fur Fun,20,Fullsuit,None,Toony,Plantigrade,Four,Grey,Purple,"Mustelidae (Weasel, Meerkat etc)",
,Silver,Hybrid Dutch Angel Dragon,123,,,All Fur Fun,20,Partial,None,Realistic Toony,N/A,N/A,Grey,Blue,Angel Dragon,
,Socks,Hybrid Dutch Angel Dragon,123,,,All Fur Fun,20,Fullsuit,None,Realistic Toony,Digitigrade,Four,Black,White,Angel Dragon,
,Splash Shark Dragon,Hybrid Custom,120,,,All Fur Fun,20,Partial,None,Realistic Toony,N/A,N/A,Grey,White,Hybrid,
,Vivid,Hybrid Custom,120,,,All Fur Fun,20,Partial,None,Toony,N/A,N/A,Black,Red,Hybrid,
,Aliuros,Cat Domestic,18,,,Alpha Dogs (Husky Moo Creations),21,Fullsuit,None,Toony,Plantigrade,Four,White,Blue,Domestic Cat,
,Alpha,Jackal,146,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Four,Grey,Brown,Dog Thick Tail,
,Alphadogs Collie,Dog Border Collie,35,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Four,Black,Blue,Dog Half Cocked Medium Tail,
,Amur,Tiger,202,,,Alpha Dogs (Husky Moo Creations),21,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Tiger,
,Belka,Wolf,210,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Five,White,Green,Wolf,
,Bluesugar,Hybrid Custom,120,,,Alpha Dogs (Husky Moo Creations),21,Fullsuit,None,Toony,Plantigrade,Four,Blue,Blue,Hybrid,
,Boz,Goat,106,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Realistic Toony,N/A,N/A,White,Yellow,Goat,
,Duce,Cat Domestic,18,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,N/A,N/A,White,Blue,Domestic Cat,
,Eidolon Salem,Fox,100,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Four,Brown,Green,Fox,
,Eidolon Salem,Fox,100,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Four,Brown,Green,Fox,
,Fenya,Fox,100,,,Alpha Dogs (Husky Moo Creations),21,Fullsuit,None,Toony,Plantigrade,Five,Brown,Orange,Fox,
,Fenya,Fox,100,,,Alpha Dogs (Husky Moo Creations),21,Fullsuit,None,Toony,Plantigrade,Five,Brown,Orange,Fox,
Fideel Owner: Fideel Species: fox DB Added: 2014-08-07 Created: Updated: 2014-08-07 Builder(s): AlphaDogs,Fideel,Fox,100,,07-08-2014,Alpha Dogs (Husky Moo Creations),21,Fullsuit,None,Toony,Plantigrade,Four,Grey,Orange,Fox,
,Flashpoint,Fox,100,,,Alpha Dogs (Husky Moo Creations),21,Fullsuit,None,Toony,Plantigrade,Four,Black,Orange,Fox,
Freckles Owner: Pony Species: fox DB Added: 2010-11-02 Created: 2010-08-20 Updated: 2010-11-02 Builder(s): Husky Moo Creations,Freckles,Fox,100,20-08-2010,02-11-2010,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Five,Brown,Blue,Fox,
,Freckles,Fox,100,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Five,Brown,Blue,Fox,
,Hildegarde,Lynx,155,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Five,Grey,Green,Lynx,
,Honey,Dog Husky,52,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,N/A,N/A,White,Brown,Husky,
,Honey Bunny,Rabbit,182,,,Alpha Dogs (Husky Moo Creations),21,Fullsuit,None,Toony,Plantigrade,Four,Grey,Blue,Rabbit,
Honey Moo Owner: Honey Species: cow DB Added: 2009-08-20 Created: Updated: 2009-08-20 Builder(s): Husky Moo Creations,Honey Moo,Cow,24,,20-08-2009,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Other,White,Brown,Cow (Bull),
,Jail,Wolf,210,,,Alpha Dogs (Husky Moo Creations),21,Fullsuit,None,Toony,Plantigrade,Four,White,Orange,Wolf,
,Khain,Ferret,98,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Four,White,Purple,Ferret,
Lilium Owner: DistantVampire Species: red panda DB Added: 2011-03-02 Created: Updated: 2011-03-02 Builder(s): Husky Moo Creations,Lilium,Red Panda,185,,02-03-2011,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Four,Brown,Green,Red Panda,
,Loxy,Rabbit,182,,,Alpha Dogs (Husky Moo Creations),21,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Rabbit,
Malu Owner: Kalak Species: cow DB Added: 2012-01-10 Created: Updated: 2012-01-10 Builder(s): Husky Moo Creations,Malu,Cow,24,,10-01-2012,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Other,White,Brown,Cow (Bull),
,Minho,Dog Husky,52,,,Alpha Dogs (Husky Moo Creations),21,Fullsuit,None,Toony,Plantigrade,Four,Brown,Brown,Husky,
,Moonshade,Wolf,210,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,N/A,N/A,Black,Blue,Wolf,
,Mousy,Mouse,164,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Four,Grey,Blue,Mouse (Rat),
,Rattie the Rat,Rat,184,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,N/A,N/A,Grey,Blue,Mouse (Rat),
,Richard Dalmatian,Dog Dalmatian,45,,,Alpha Dogs (Husky Moo Creations),21,Fullsuit,None,Toony,Plantigrade,Four,White,Multi,Dalmation,
,Shadow,Wolf,210,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Four,Black,Blue,Wolf,
,SWift,Fox,100,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Five,Black,Blue,Fox,
,Tempest,Rabbit,182,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,N/A,N/A,White,Blue,Rabbit,
,Tiberius,Tiger,202,,,Alpha Dogs (Husky Moo Creations),21,Fullsuit,None,Toony,Plantigrade,Five,Orange,Green,Tiger,
,Tokie,Dog Domestic,47,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Four,Brown,Green,Dog Half Cocked Stub Tail,
,Unamed Wolf,Wolf,210,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,N/A,N/A,Grey,Blue,Wolf,
,Weatoef,Possum,179,,,Alpha Dogs (Husky Moo Creations),21,Fullsuit,None,Toony,Plantigrade,Five,Grey,Black,"Mustelidae (Weasel, Meerkat etc)",
,Whisper Vixen,Fox,100,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,Plantigrade,Four,Brown,Green,Fox,
,Yellowfur,Fox,100,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,N/A,N/A,Orange,Orange,Fox,
,Zato,Cat Domestic,18,,,Alpha Dogs (Husky Moo Creations),21,Partial,None,Toony,N/A,N/A,Black,Red,Domestic Cat,
,Asriel Dreemurr,Hybrid Custom,120,,,Alpha Suits,22,Partial,None,Realistic Toony,N/A,N/A,White,Grey,Hybrid,
,Blue,Red Panda,185,,,Alpha Suits,22,Partial,None,Toony,Plantigrade,Five,Blue,Blue,Red Panda,
,Dark,Dog Husky,52,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Five,Black,Orange,Husky,
,Draconic,Fantasy - Dragon,78,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Five,Black,Green,Dragon,
,Ekko,Wolf,210,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Five,Black,Blue,Wolf,
,Icarus,Wolf,210,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Five,Purple,Orange,Wolf,
,Jeremy the Werewiger,Hybrid Custom,120,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Hybrid,
,Kyro,Fantasy - Media,87,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Four,Grey,Green,Media,
,Medibun,Rabbit,182,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Four,Green,Blue,Rabbit,
,Monty,Dog Burnese Mountain,39,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Five,Black,Brown,Dog Half Cocked Medium Tail,
,Nakura,Hybrid Custom,120,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Five,White,Brown,Hybrid,
,Onai,Wolf,210,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Five,Black,Blue,Wolf,
,R3vnge,Panther,172,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Five,Black,Multi,Feline (Long Tail),
,Riehl,Wolf,210,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Four,Black,Blue,Wolf,
,Rockie,Dog Husky,52,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Five,Black,Blue,Husky,
,Sef,Fox,100,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Fox,
,Swiftcreek,Otter,169,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,"Mustelidae (Weasel, Meerkat etc)",
,Wolfen,Wolf,210,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Five,Black,Blue,Wolf,
,Zero,Wolf,210,,,Alpha Suits,22,Fullsuit,None,Toony,Plantigrade,Five,Black,Blue,Wolf,
,Bone Marrow,Marten,157,,,Amber Groves,23,Partial,None,Toony,Plantigrade,Five,Black,Multi,"Mustelidae (Weasel, Meerkat etc)",
,Flame Tabby,Cat Domestic,18,,,Amber Groves,23,Partial,None,Toony,Plantigrade,Four,Brown,Blue,Domestic Cat,
,Jacky,Otter,169,,,Amber Groves,23,Fullsuit,None,Toony,Plantigrade,Five,Blue,Multi,"Mustelidae (Weasel, Meerkat etc)",
,Kujaroo,Kangaroo,148,,,Amber Groves,23,Partial,None,Toony,Plantigrade,Four,Black,Green,Kangaroo,
,Sharkdog,Hybrid Custom,120,,,Amber Groves,23,Partial,None,Toony,Plantigrade,Five,Brown,Multi,Hybrid,
,Tettra ,Cat Domestic,18,,,Amber Groves,23,Partial,None,Toony,Plantigrade,Five,Brown,Green,Domestic Cat,
Maple Owner: Amoryllis Species: dog DB Added: 2011-11-12 Created: Updated: 2011-11-12 Builder(s): Amoryllis Studios,Maple,Dog Collie,42,,12-11-2011,Amoryllis Studios,24,Partial,None,Toony,N/A,N/A,Black,Blue,Dog Half Cocked Medium Tail,
Morrigan Owner: Amoryllis Species: gryphon DB Added: 2011-11-12 Created: Updated: 2011-11-12 Builder(s): Amoryllis Studios,Morrigan,Fantasy - Gryphon,83,,12-11-2011,Amoryllis Studios,24,Partial,None,Realistic Toony,Plantigrade,Four,Green,Orange,Gryphon,
,Angel Tigress Cute Fox,Fox,100,,,Angel Tigress,26,Partial,None,Toony,Plantigrade,Four,Orange,Green,Fox,
,Angel Tigress Dalmatia,Dog Dalmatian,45,,,Angel Tigress,26,Partial,None,Toony,Plantigrade,Five,White,Blue,Dalmation,
,Angel Tigress Husky,Dog Husky,52,,,Angel Tigress,26,Fullsuit,None,Realistic Toony,Digitigrade,Four,Black,Blue,Husky,
,Angel Tigress Leopard,Leopard,151,,,Angel Tigress,26,Fullsuit,None,Realistic Toony,Plantigrade,Five,Yellow,Blue,Snow Leopard,
,Angel Tigress Tiger,Tiger,202,,,Angel Tigress,26,Fullsuit,None,Realistic Toony,Plantigrade,Five,Orange,Blue,Tiger,
,Angel Tigress Young Puppy,Dog Domestic,47,,,Angel Tigress,26,Partial,None,Toony,Plantigrade,Four,Grey,Blue,Dog Half Cocked Stub Tail,
,Anton Romanov,Wolf,210,,,Angel Tigress,26,Partial,None,Toony,N/A,Four,Grey,Blue,Wolf,
,Dante,Hybrid Custom,120,,,Angel Tigress,26,Partial,None,Toony,Plantigrade,Four,Red,Yellow,Hybrid,
,Fenech,Fennec,97,,,Angel Tigress,26,Partial,None,Realistic Toony,Plantigrade,Four,Brown,Blue,Fennec,
,Kirito,Fantasy - Monster,89,,,Angel Tigress,26,Fullsuit,Muscle,Realistic,Digitigrade,Five,Blue,Orange,Missingno (No Avatar Graphic Found),
,Night,Cat Domestic,18,,,Angel Tigress,26,Partial,None,Realistic,Plantigrade,Four,Brown,Yellow,Domestic Cat,
,Oliver,Dog Husky,52,,,Angel Tigress,26,Partial,None,Toony,Plantigrade,Four,Brown,Purple,Husky,
,Peach,Dog Husky,52,,,Angel Tigress,26,Fullsuit,None,Toony,Digitigrade,Four,Brown,Blue,Husky,
,Preludes,Wolf,210,,,Angel Tigress,26,Partial,None,Toony,Plantigrade,Four,Grey,Blue,Wolf,
Rurik Owner: FoxOne Species: silver fox DB Added: 2017-12-31 Created: 2015-01-01 Updated: 2017-12-31 Builder(s): Angel Tigress,Rurik,Fox,100,01-01-2015,31-12-2017,Angel Tigress,26,Partial,None,Realistic,Plantigrade,Five,Black,Yellow,Fox,
,Big Cat Partial,Panther,172,,,AngelDragon5,27,Partial,None,Realistic,Plantigrade,Five,Black,Red,Feline (Long Tail),
,Cute Pup,Dog Domestic,47,,,AngelDragon5,27,Partial,None,Toony,N/A,N/A,Brown,Blue,Dog Half Cocked Stub Tail,
,Harlow,Fantasy - Gryphon,83,,,AngelDragon5,27,Partial,None,Realistic,Plantigrade,Five,Red,Green,Gryphon,
,Hinokoori,Hybrid Dutch Angel Dragon,123,,,AngelDragon5,27,Fullsuit,None,Realistic,Digitigrade,Five,Black,Orange,Angel Dragon,
,Jackalope,Hybrid Jackalope,128,,,AngelDragon5,27,Partial,None,Realistic,N/A,N/A,Grey,Yellow,Hybrid,
,Lavender Lemon,Dog German Shepherd,48,,,AngelDragon5,27,Partial,None,Toony,N/A,N/A,Yellow,Pink,Dog Thick Tail,
,Legion,Hawk,110,,,AngelDragon5,27,Partial,None,Realistic,Plantigrade,Other,Blue,Black,Bird (Large),
,Pippin,Fantasy - Gryphon,83,,,AngelDragon5,27,Partial,None,Realistic,N/A,N/A,Brown,Orange,Gryphon,
,Purple Sergal,Hybrid Sergal,134,,,AngelDragon5,27,Partial,None,Realistic,N/A,N/A,Purple,Green,Hybrid,
,Reoz,Hybrid Custom,120,,,AngelDragon5,27,Partial,None,Realistic,N/A,N/A,Black,Green,Hybrid,
,Shuffle,Hybrid Custom,120,,,AngelDragon5,27,Partial,None,Realistic,N/A,N/A,Brown,Purple,Hybrid,
,Toony K9 Head,Dog Domestic,47,,,AngelDragon5,27,Partial,None,Toony,N/A,N/A,Blue,Blue,Dog Half Cocked Stub Tail,
,Winter,Fantasy - Gryphon,83,,,AngelDragon5,27,Partial,None,Realistic,Plantigrade,Five,Blue,Blue,Gryphon,
Annika McGettigan V2 Owner: Annika Species: cat DB Added: 2011-04-05 Created: 2011-04-05 Updated: 2011-04-05 Builder(s): Annika McGettigan,Annika Mcgettigan,Cat Domestic,18,05-04-2011,05-04-2011,AnnikaCat,29,Fullsuit,None,Toony,Plantigrade,Four,Orange,Blue,Domestic Cat,
Claudia Cat Owner: Annika Species: cat DB Added: 2009-02-10 Created: 2009-02-10 Updated: 2009-03-06 Builder(s): Annika McGettigan,Claudia Cat,Cat Domestic,18,10-02-2009,06-03-2009,AnnikaCat,29,Fullsuit,None,Toony,Plantigrade,Four,Grey,Yellow,Domestic Cat,
Kitty Purrkins Owner: Annika Species: cat DB Added: 2009-09-08 Created: 2009-07-05 Updated: 2009-09-08 Builder(s): Annika McGettigan,Kitty Purrkins,Cat Domestic,18,05-07-2009,08-09-2009,AnnikaCat,29,Partial,None,Toony,Plantigrade,Four,White,Blue,Domestic Cat,
Vesna Star Owner: Annika Species: turtle DB Added: 2009-04-22 Created: 2009-04-18 Updated: 2009-04-22 Builder(s): Annika McGettigan,Vesna Star,Turtle,204,18-04-2009,22-04-2009,AnnikaCat,29,Fullsuit,None,Toony,Plantigrade,Five,Green,Blue,Missingno (No Avatar Graphic Found),
Dyno Owner: Ithabise Species: german shepherd DB Added: 2010-03-18 Created: 2010-01-21 Updated: 2010-03-18 Builder(s): Anthropaws,Dyno,Dog German Shepherd,48,21-01-2010,18-03-2010,Anthropaws,30,Fullsuit,None,Toony,Plantigrade,Five,Brown,Black,Dog Thick Tail,
HarleyBadger Owner: HarleyBadger Species: badger DB Added: 2010-02-17 Created: 2010-02-11 Updated: 2010-04-03 Builder(s): Anthropaws,Harleybadger,Badger,8,11-02-2010,03-04-2010,Anthropaws,30,Fullsuit,None,Toony,Plantigrade,Five,Brown,Brown,Missingno (No Avatar Graphic Found),
Ithabise Owner: Ithabise Species: lion DB Added: 2010-03-18 Created: 2008-09-20 Updated: 2010-03-18 Builder(s): Anthropaws,Ithabise,Lion,152,20-09-2008,18-03-2010,Anthropaws,30,Fullsuit,None,Toony,Plantigrade,Five,Brown,Black,Lion,
Loco The Fox Owner: bobbyfox Species: fox DB Added: 2011-01-22 Created: 2011-01-02 Updated: 2016-06-24 Builder(s): Anthropaws,Loco The Fox,Fox,100,02-01-2011,24-06-2016,Anthropaws,30,Fullsuit,None,Toony,Plantigrade,Five,Black,Blue,Fox,
Aoi red vixen Owner: AoiKitsune Species: fox DB Added: 2007-04-02 Created: Updated: 2007-04-03 Builder(s): AoiKitsune,Aoi Red Vixen,Fox,100,,03-04-2007,Aoi Kitsune,31,Fullsuit,None,Toony,Plantigrade,Five,Brown,Black,Fox,
AoiKitsune Owner: AoiKitsune Species: fox DB Added: 2007-04-02 Created: Updated: 2007-04-03 Builder(s): AoiKitsune,Aoikitsune,Fox,100,,03-04-2007,Aoi Kitsune,31,Fullsuit,None,Toony,Plantigrade,Five,Grey,Blue,Fox,
AoiVixen Owner: AoiKitsune Species: kitsune DB Added: 2009-07-20 Created: 2009-07-01 Updated: 2009-07-20 Builder(s): AoiKitsune,Aoivixen,Hybrid Kitsune,129,01-07-2009,20-07-2009,Aoi Kitsune,31,Fullsuit,None,Toony,Plantigrade,Five,Blue,Black,Hybrid,
Hobbes Owner: AoiKitsune Species: tiger DB Added: 2007-04-03 Created: Updated: 2007-04-03 Builder(s): AoiKitsune,Hobbes,Tiger,202,,03-04-2007,Aoi Kitsune,31,Fullsuit,None,Toony,Plantigrade,Five,Yellow,Black,Tiger,
Maid Marian Owner: AoiKitsune Species: fox DB Added: 2007-04-03 Created: Updated: 2007-04-03 Builder(s): AoiKitsune,Maid Marian,Fox,100,,03-04-2007,Aoi Kitsune,31,Partial,None,Toony,Plantigrade,Five,Brown,Black,Fox,
Miles Tails Prower Owner: AoiKitsune Species: fox DB Added: 2007-04-03 Created: Updated: 2007-04-03 Builder(s): AoiKitsune,Miles Tails Prower,Fox,100,,03-04-2007,Aoi Kitsune,31,Fullsuit,None,Toony,Plantigrade,Four,Yellow,Blue,Fox,
Pepe le pew Owner: AoiKitsune Species: skunk DB Added: 2007-04-03 Created: Updated: 2007-04-03 Builder(s): AoiKitsune,Pepe Le Pew,Skunk,193,,03-04-2007,Aoi Kitsune,31,Fullsuit,None,Toony,Plantigrade,Five,Black,Black,Missingno (No Avatar Graphic Found),
Princess Violet Owner: AoiKitsune Species: bunny DB Added: 2007-04-03 Created: Updated: 2007-04-03 Builder(s): AoiKitsune,Princess Violet,Rabbit,182,,03-04-2007,Aoi Kitsune,31,Partial,None,Toony,Plantigrade,Five,White,Pink,Rabbit,
Rita Owner: AoiKitsune Species: cat DB Added: 2007-04-03 Created: Updated: 2007-04-03 Builder(s): AoiKitsune,Rita,Cat Domestic,18,,03-04-2007,Aoi Kitsune,31,Fullsuit,None,Toony,Plantigrade,Five,Grey,Green,Domestic Cat,
Uriko Owner: AoiKitsune Species: cat DB Added: 2007-04-03 Created: Updated: 2007-04-03 Builder(s): AoiKitsune,Uriko,Cat Domestic,18,,03-04-2007,Aoi Kitsune,31,Fullsuit,None,Realistic Toony,Plantigrade,Five,Orange,Black,Domestic Cat,
Usagi Yojimbo Owner: AoiKitsune Species: bunny DB Added: 2007-12-17 Created: 2007-10-27 Updated: 2007-12-17 Builder(s): AoiKitsune,Usagi Yojimbo,Rabbit,182,27-10-2007,17-12-2007,Aoi Kitsune,31,Partial,None,Toony,Plantigrade,Five,White,Black,Rabbit,
,Apoxon Hyena,Hyena,144,,,Apoxon,32,Partial,None,Toony,Plantigrade,Five,Blue,Blue,Missingno (No Avatar Graphic Found),
,Apoxon Otter,Otter,169,,,Apoxon,32,Fullsuit,None,Toony,Plantigrade,Four,Grey,Blue,"Mustelidae (Weasel, Meerkat etc)",
,Apoxon Possum,Possum,179,,,Apoxon,32,Partial,None,Toony,N/A,N/A,Grey,Blue,"Mustelidae (Weasel, Meerkat etc)",
,Ruckus,Wolverine,211,,,Apoxon,32,Fullsuit,Plush,Toony,Plantigrade,Five,Brown,Black,Missingno (No Avatar Graphic Found),
Sony Owner: Apoxon Species: dragon DB Added: 2011-01-22 Created: 2010-10-25 Updated: 2011-01-22 Builder(s): Apoxon Industries,Sony,Fantasy - Dragon,78,25-10-2010,22-01-2011,Apoxon,32,Partial,None,Toony,Plantigrade,Four,White,Green,Dragon,
,Zero,Hybrid Custom,120,,,Apoxon,32,Fullsuit,Plush,Toony,Plantigrade,Five,Blue,Brown,Hybrid,
Kurai Owner: Ruizaka Species: sergal DB Added: 2014-05-22 Created: Updated: 2014-05-22 Builder(s): Appalachian Fursuits,Kurai,Hybrid Sergal,134,,22-05-2014,Appalachian Fursuits,33,Fullsuit,None,Realistic,Plantigrade,Five,Blue,Blue,Hybrid,
Ruizaka Owner: Ruizaka Species: wolf DB Added: 2014-05-22 Created: 2013-06-01 Updated: 2014-05-22 Builder(s): Appalachian Fursuits,Ruizaka,Wolf,210,01-06-2013,22-05-2014,Appalachian Fursuits,33,Fullsuit,None,Realistic,Plantigrade,Five,Green,Green,Wolf,
,Angus,Fantasy - Dragon,78,,,Apple Monster Studios,34,Fullsuit,None,Toony,Digitigrade,Four,Purple,Yellow,Dragon,
,Applefritter,Dog Corgi,43,,,Apple Monster Studios,34,Fullsuit,Plush,Toony,Plantigrade,Four,Red,Green,Dog Half Cocked Stub Tail,
Cassie Cougar Owner: Lrdkazul Species: cougar DB Added: 2011-06-13 Created: 2009-10-30 Updated: 2012-06-09 Builder(s): KazulGFox,Cassie Cougar,Cougar,23,30-10-2009,09-06-2012,Apple Monster Studios,34,Fullsuit,None,Toony,Plantigrade,Four,Brown,Blue,Feline (Long Tail),
,Chutney,Fantasy - Dragon,78,,,Apple Monster Studios,34,Fullsuit,None,Toony,Digitigrade,Four,Red,Red,Dragon,
,Didger,Kangaroo,148,,,Apple Monster Studios,34,Fullsuit,None,Toony,Digitigrade,Four,Brown,Blue,Kangaroo,
,Dimitri,Wolf,210,,,Apple Monster Studios,34,Partial,None,Realistic,Plantigrade,Five,Grey,Green,Wolf,
,Eedo,Kangaroo,148,,,Apple Monster Studios,34,Fullsuit,None,Toony,Digitigrade,Four,Brown,Blue,Kangaroo,
,Female Worgen Death Knight,Wolf,210,,,Apple Monster Studios,34,Partial,None,Realistic,Plantigrade,Five,Black,Blue,Wolf,
,Froie,Lion,152,,,Apple Monster Studios,34,Fullsuit,None,Toony,Plantigrade,Four,Brown,Blue,Lion,
,Genn,Fantasy - Media,87,,,Apple Monster Studios,34,Fullsuit,None,Realistic,Plantigrade,Four,White,Orange,Media,
,Kazul,Fantasy - Gryphon,83,,,Apple Monster Studios,34,Fullsuit,None,Toony,Digitigrade,Four,Red,Blue,Gryphon,
,Mollie,Dog Border Collie,35,,,Apple Monster Studios,34,Fullsuit,None,Toony,Plantigrade,Four,White,Purple,Dog Half Cocked Medium Tail,
,Rooth'roo,Kangaroo,148,,,Apple Monster Studios,34,Fullsuit,None,Toony,Digitigrade,Five,White,Blue,Kangaroo,
,Roxy,Lynx,155,,,Apple Monster Studios,34,Fullsuit,None,Toony,Digitigrade,Four,Black,Purple,Lynx,
,Ukiah,Fantasy - Media,87,,,Apple Monster Studios,34,Fullsuit,None,Realistic,Digitigrade,Four,Blue,White,Media,
,Celeste,Hybrid Custom,120,,,Aqua Frost,35,Partial,Plush,Toony,Plantigrade,Four,Blue,Blue,Hybrid,
,Infinite,Hybrid Custom,120,,,Aqua Frost,35,Fullsuit,None,Toony,Plantigrade,Four,Black,Green,Hybrid,
,Sane,Wolf,210,,,Aqua Frost,35,Partial,None,Toony,Plantigrade,Five,Black,Brown,Wolf,
Ace Owner: Diadexxus Species: dog DB Added: 2006-09-10 Created: 2001-09-01 Updated: 2008-03-02 Builder(s): Arend Studios,Ace,Dog Domestic,47,01-09-2001,02-03-2008,Arend Studios,36,Fullsuit,None,Toony,Plantigrade,Four,Black,Multi,Dog Half Cocked Stub Tail,
Ace Shepherd Owner: aceshepherd Species: german shepherd DB Added: 2010-05-16 Created: 2002-09-12 Updated: 2010-05-16 Builder(s): Arend Studios,Ace Shepherd,Dog German Shepherd,48,12-09-2002,16-05-2010,Arend Studios,36,Fullsuit,None,Toony,Plantigrade,Four,Brown,Blue,Dog Thick Tail,
Alfred Owner: Balloonfox Species: bunny DB Added: 2007-07-27 Created: Updated: 2018-09-24 Builder(s): Arend Studios,Alfred,Rabbit,182,,24-09-2018,Arend Studios,36,Fullsuit,None,Toony,Plantigrade,Four,White,Black,Rabbit,
Angel Owner: bunny Species: bunny DB Added: 2006-09-16 Created: 2006-04-28 Updated: 2007-01-25 Builder(s): Arend Studios,Angel,Rabbit,182,28-04-2006,25-01-2007,Arend Studios,36,Fullsuit,None,Toony,Plantigrade,Four,Pink,Blue,Rabbit,
Arazia Owner: Arazia Species: lion DB Added: 2007-09-27 Created: 2005-10-01 Updated: 2007-09-28 Builder(s): Arend Studios,Arazia,Lion,152,01-10-2005,28-09-2007,Arend Studios,36,Partial,None,Toony,Plantigrade,Four,Brown,Green,Lion,
Ardan Owner: Calemeyr Species: hare DB Added: 2014-08-13 Created: 2009-01-01 Updated: 2014-10-07 Builder(s): Arend Studios Frazzle,Ardan,Hare,109,01-01-2009,07-10-2014,Arend Studios,36,Fullsuit,None,Toony,Plantigrade,Four,White,Black,Rabbit,
Artiko Owner: Artiko Species: arctic wolf DB Added: 2016-04-01 Created: Updated: 2016-04-01 Builder(s): Arend Studios,Artiko,Wolf,210,,01-04-2016,Arend Studios,36,Fullsuit,None,Toony,Plantigrade,Four,Yellow,Blue,Wolf,
Avery Owner: Croc Species: wolf DB Added: 2007-01-04 Created: Updated: 2008-03-25 Builder(s): Arend Studios,Avery,Wolf,210,,25-03-2008,Arend Studios,36,Fullsuit,None,Toony,Plantigrade,Four,Grey,Blue,Wolf,
,Babs,Hybrid Custom,120,,,Arend Studios,36,Fullsuit,None,Toony,Plantigrade,Four,Pink,Green,Hybrid,
Biscuit Owner: Rakhan Species: dog DB Added: 2013-07-21 Created: Updated: 2013-07-21 Builder(s): Arend Studios,Biscuit,Dog Domestic,47,,21-07-2013,Arend Studios,36,Fullsuit,None,Toony,Plantigrade,Four,Brown,Blue,Dog Half Cocked Stub Tail,
